"sub_region_1","Mean_retail_and_recreation_percent_change_from_baseline","Mean_grocery_and_pharmacy_percent_change_from_baseline","Mean_parks_percent_change_from_baseline","Mean_transit_stations_percent_change_from_baseline","Mean_workplaces_percent_change_from_baseline","Mean_residential_percent_change_from_baseline","retail_mean","grocery_mean","parks_mean","transit_mean","workplace_mean","residential_mean","SD_retail_and_recreation_percent_change_from_baseline","SD_grocery_and_pharmacy_percent_change_from_baseline","SD_parks_percent_change_from_baseline","SD_transit_stations_percent_change_from_baseline","SD_workplaces_percent_change_from_baseline","SD_residential_percent_change_from_baseline","retail_sd","grocery_sd","parks_sd","transit_sd","workplace_sd","residential_sd"
"Louisiana",-15.5444444444444,-5.26666666666667,-23.5444444444444,-19.7222222222222,-23.3444444444444,7.02222222222222,"AVG","HIGH","LOW","AVG","AVG","LOW",12.1508876183022,8.59291581753196,18.1993709677141,11.2350052657241,11.0760000802536,5.01229449751685,"HIGH","AVG","LOW","AVG","AVG","HIGH"
"Maine",-15.6666666666667,-4.76666666666667,9.84444444444444,-29.4444444444444,-23.0777777777778,8.52222222222222,"AVG","HIGH","HIGH","AVG","AVG","AVG",11.6907723142387,9.30512725643379,21.8888464292319,10.1783103949958,10.2849598686929,3.8372151002183,"HIGH","HIGH","AVG","AVG","AVG","AVG"
"Maryland",-24.7555555555556,-13.9333333333333,-3.32222222222222,-44.8111111111111,-34.3,13.5777777777778,"LOW","LOW","AVG","LOW","LOW","HIGH",10.1398214986739,9.49961560428702,39.2897126878796,8.35167270394427,13.9778717577607,5.52416098215865,"AVG","HIGH","HIGH","AVG","HIGH","HIGH"
"Massachusetts",-28.7111111111111,-16.5666666666667,-11.8666666666667,-56.4444444444444,-34.4777777777778,13.3,"LOW","LOW","AVG","LOW","LOW","HIGH",7.62498030123732,6.36007561258141,26.3716736014104,6.33540277642831,12.1758905059541,4.67229462669593,"LOW","AVG","AVG","LOW","HIGH","AVG"
"Michigan",-22.3666666666667,-11.0111111111111,14.2333333333333,-30.7888888888889,-25.6111111111111,9.76666666666667,"LOW","AVG","HIGH","AVG","AVG","AVG",10.9651644520579,6.92089239625565,33.4203900622077,8.66673148924188,11.5142261244924,4.28231272178843,"AVG","AVG","HIGH","AVG","AVG","AVG"
"Minnesota",-21.2,-12.3666666666667,-0.788888888888889,-40.1111111111111,-27.0888888888889,11.2555555555556,"AVG","LOW","AVG","LOW","AVG","HIGH",8.78481836510381,6.2142460469943,25.262884995624,9.69819216843171,12.276445377678,4.09044134074154,"AVG","AVG","AVG","AVG","HIGH","AVG"
"Mississippi",-9.66666666666667,-7.76666666666667,-9.72222222222222,3.21111111111111,-21.7666666666667,6.53333333333333,"HIGH","AVG","AVG","HIGH","AVG","LOW",14.4463361865036,9.5058231709465,17.8168130277813,14.8214045373381,12.5761053973912,5.74788676360199,"HIGH","HIGH","LOW","HIGH","HIGH","HIGH"
"Missouri",-11.8666666666667,-6.35555555555556,1.35555555555556,-15.4222222222222,-21.8888888888889,7.62222222222222,"HIGH","AVG","AVG","AVG","AVG","AVG",13.6630396210138,9.2861030772896,37.4859707423575,12.2263096104931,11.8135747897645,4.86809788610645,"HIGH","HIGH","HIGH","HIGH","AVG","HIGH"
"Montana",-7.26666666666667,-0.155555555555556,2.04444444444444,-3.21111111111111,-15.5666666666667,5.5,"HIGH","HIGH","AVG","HIGH","HIGH","LOW",9.93552246948156,7.0086801897716,19.8227602195456,11.5364536490424,7.19558229015429,2.74885062804091,"AVG","AVG","LOW","AVG","LOW","LOW"
"Nebraska",-11.8555555555556,-6.42222222222222,-2.13333333333333,-15.8555555555556,-19.9777777777778,7.83333333333333,"HIGH","AVG","AVG","AVG","HIGH","AVG",12.1540311998526,8.4067626306201,33.3332509362277,11.6083669080607,10.0100823081147,4.47276401987944,"HIGH","AVG","HIGH","HIGH","AVG","AVG"
"Nevada",-18.2777777777778,-9.02222222222222,-25.4222222222222,-36.4888888888889,-29.8111111111111,9.28888888888889,"AVG","AVG","LOW","AVG","AVG","AVG",7.60695686585978,5.51805571070707,13.6406347489608,8.64953651345712,7.97453030485315,3.1666962348314,"LOW","LOW","LOW","AVG","LOW","LOW"
"New Hampshire",-16.6222222222222,-7.67777777777778,10.6111111111111,-29.9333333333333,-23.7333333333333,10.3777777777778,"AVG","AVG","HIGH","AVG","AVG","AVG",9.11915846918001,7.40153002369344,25.4490875068505,8.00393161816832,11.1916903363285,4.18552287627427,"AVG","AVG","AVG","LOW","AVG","AVG"
"New Jersey",-26.0555555555556,-11.6111111111111,-2.93333333333333,-45.6444444444444,-33.6111111111111,13.2444444444444,"LOW","LOW","AVG","LOW","LOW","HIGH",11.1832148611976,10.3584025973862,37.6297157259788,9.09662378548392,14.270023932048,5.7206723717164,"AVG","HIGH","HIGH","AVG","HIGH","HIGH"
"New Mexico",-21.4,-9.96666666666667,-14.7777777777778,-14.8222222222222,-30.5444444444444,10.2666666666667,"AVG","AVG","LOW","AVG","LOW","AVG",9.44980827342515,6.30578475277381,15.4329122826217,10.0912441497264,9.62459526201248,3.84473958440752,"AVG","AVG","LOW","AVG","AVG","AVG"
"New York",-32.1888888888889,-14.7777777777778,-24.7444444444444,-49.0222222222222,-33.8333333333333,12.1444444444444,"LOW","LOW","LOW","LOW","LOW","HIGH",8.89374789166802,7.84653044026864,22.2026221303514,6.39166904716518,11.1961570453558,4.6266475622656,"AVG","AVG","AVG","LOW","AVG","AVG"
"North Carolina",-16.8333333333333,-6.43333333333333,-1.66666666666667,-31.0222222222222,-25.7777777777778,8.42222222222222,"AVG","AVG","AVG","AVG","AVG","AVG",7.92840151365947,6.26215671646542,24.4820502923439,7.78355768830302,9.73558026499344,3.66881108555934,"LOW","AVG","AVG","LOW","AVG","AVG"
