"sub_region_1","retail_and_recreation_percent_change_from_baseline_2021-01","retail_and_recreation_percent_change_from_baseline_2021-02","retail_and_recreation_percent_change_from_baseline_2021-03","grocery_and_pharmacy_percent_change_from_baseline_2021-01","grocery_and_pharmacy_percent_change_from_baseline_2021-02","grocery_and_pharmacy_percent_change_from_baseline_2021-03","parks_percent_change_from_baseline_2021-01","parks_percent_change_from_baseline_2021-02","parks_percent_change_from_baseline_2021-03","transit_stations_percent_change_from_baseline_2021-01","transit_stations_percent_change_from_baseline_2021-02","transit_stations_percent_change_from_baseline_2021-03","workplaces_percent_change_from_baseline_2021-01","workplaces_percent_change_from_baseline_2021-02","workplaces_percent_change_from_baseline_2021-03","residential_percent_change_from_baseline_2021-01","residential_percent_change_from_baseline_2021-02","residential_percent_change_from_baseline_2021-03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"Georgia",-20.3548387096774,-17.1071428571429,-7,-11.5161290322581,-8.5,-2.7741935483871,-16.9677419354839,-11.5714285714286,19.8064516129032,-34.1612903225806,-31.5714285714286,-21,-28.3225806451613,-25.0714285714286,-24.1935483870968,10.3225806451613,8.57142857142857,6.2258064516129,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Hawaii",-36.4193548387097,-32.5357142857143,-26.3225806451613,-24.4193548387097,-20.1428571428571,-15.4193548387097,-43.9032258064516,-40,-36.8387096774194,-57.2903225806452,-53.6785714285714,-46.6129032258064,-33.1612903225806,-31.4285714285714,-30.8064516129032,12.1612903225806,10.9285714285714,10.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Idaho",-10.7096774193548,-9.14285714285714,3.16129032258065,-5.58064516129032,-1.32142857142857,4.96774193548387,11.4516129032258,7.53571428571429,55.7741935483871,-16.8064516129032,-12.1428571428571,5.64516129032258,-20.5483870967742,-18.2142857142857,-18.4193548387097,7.12903225806452,6.14285714285714,3.51612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Illinois",-31.3870967741935,-27.7857142857143,-13.3225806451613,-14.6451612903226,-12.5,-4.83870967741935,-31.6129032258065,-36.5,9.80645161290323,-44.6774193548387,-42.7857142857143,-31.8064516129032,-30.5483870967742,-28.9642857142857,-26.5806451612903,12.4516129032258,11.5714285714286,8,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Indiana",-18.9032258064516,-18.6428571428571,-2.29032258064516,-11.7741935483871,-9.57142857142857,-2.48387096774194,-9.12903225806452,-12.3928571428571,42.6774193548387,-18.741935483871,-16.3571428571429,-0.774193548387097,-22.741935483871,-21.9285714285714,-20.0645161290323,9.06451612903226,8.71428571428571,4.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Iowa",-17.2903225806452,-15.9285714285714,0.548387096774194,-0.903225806451613,1.60714285714286,11.5161290322581,-9.87096774193548,-17.75,32.7096774193548,-25.4516129032258,-24.0714285714286,-9.35483870967742,-19.8064516129032,-17.6428571428571,-16.7096774193548,9.32258064516129,8.17857142857143,5,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Kansas",-19.8709677419355,-19.8214285714286,-2.51612903225806,-13.3548387096774,-11.0714285714286,-2.93548387096774,-10.0967741935484,-10.5357142857143,44.258064516129,-15.0967741935484,-13.7857142857143,6.03225806451613,-22.7096774193548,-21.8571428571429,-19.4516129032258,8.87096774193548,8.64285714285714,4.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Kentucky",-22.1290322580645,-24.6071428571429,-3.67741935483871,-9.16129032258065,-9.07142857142857,2.80645161290323,-8.67741935483871,-13.3928571428571,48.1290322580645,-18.1290322580645,-19.1428571428571,-1.09677419354839,-25.3225806451613,-27.7142857142857,-21.3225806451613,9.35483870967742,10.7142857142857,4.93548387096774,"Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Louisiana",-20.9677419354839,-21.9285714285714,-4.35483870967742,-9.03225806451613,-8.14285714285714,1.09677419354839,-31.5161290322581,-32.4285714285714,-7.54838709677419,-24.8064516129032,-25.1785714285714,-9.70967741935484,-23.9032258064516,-26.7857142857143,-19.6774193548387,8.06451612903226,9.07142857142857,4.12903225806452,"Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Maine",-22.258064516129,-19.8214285714286,-5.32258064516129,-9.12903225806452,-6.03571428571429,0.741935483870968,3.48387096774194,4.82142857142857,20.741935483871,-31.6129032258065,-33.8928571428571,-23.258064516129,-24.0322580645161,-24.25,-21.0645161290323,9.67741935483871,9.21428571428571,6.74193548387097,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Dec","Dec Dec"
