state,vacc_date,effective_date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,cumuluative_new_case_7_per100000,cumuluative_new_death_7_per100000,Mean_retail_and_recreation_percent_change_from_baseline,Mean_grocery_and_pharmacy_percent_change_from_baseline,Mean_parks_percent_change_from_baseline,Mean_transit_stations_percent_change_from_baseline,Mean_workplaces_percent_change_from_baseline,Mean_residential_percent_change_from_baseline,retail_mean,grocery_mean,parks_mean,transit_mean,workplace_mean,residential_mean,SD_retail_and_recreation_percent_change_from_baseline,SD_grocery_and_pharmacy_percent_change_from_baseline,SD_parks_percent_change_from_baseline,SD_transit_stations_percent_change_from_baseline,SD_workplaces_percent_change_from_baseline,SD_residential_percent_change_from_baseline,retail_sd,grocery_sd,parks_sd,transit_sd,workplace_sd,residential_sd,retail_and_recreation_percent_change_from_baseline_2021-01,retail_and_recreation_percent_change_from_baseline_2021-02,retail_and_recreation_percent_change_from_baseline_2021-03,grocery_and_pharmacy_percent_change_from_baseline_2021-01,grocery_and_pharmacy_percent_change_from_baseline_2021-02,grocery_and_pharmacy_percent_change_from_baseline_2021-03,parks_percent_change_from_baseline_2021-01,parks_percent_change_from_baseline_2021-02,parks_percent_change_from_baseline_2021-03,transit_stations_percent_change_from_baseline_2021-01,transit_stations_percent_change_from_baseline_2021-02,transit_stations_percent_change_from_baseline_2021-03,workplaces_percent_change_from_baseline_2021-01,workplaces_percent_change_from_baseline_2021-02,workplaces_percent_change_from_baseline_2021-03,residential_percent_change_from_baseline_2021-01,residential_percent_change_from_baseline_2021-02,residential_percent_change_from_baseline_2021-03,JF_change_retail,FM_change_retail,retail_pattern,JF_change_grocery,FM_change_grocery,grocery_pattern,JF_change_parks,FM_change_parks,parks_pattern,JF_change_transit,FM_change_transit,transit_pattern,JF_change_workplace,FM_change_workplace,workplaces_pattern,JF_change_residential,FM_change_residential,residential_pattern,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Statewide Face Mask Requirement,Emergency Declaration,Density
Maryland,3/10/2021,3/31/2021,19.44,11.02,154.6280561,1.486475835,-24.75555556,-13.93333333,-3.322222222,-44.81111111,-34.3,13.57777778,LOW,LOW,AVG,LOW,LOW,HIGH,10.1398215,9.499615604,39.28971269,8.351672704,13.97787176,5.524160982,AVG,HIGH,HIGH,AVG,HIGH,HIGH,-29.35483871,-29.07142857,-16.25806452,-16.70967742,-17.25,-8.161290323,-14.12903226,-27,28.87096774,-48.74193548,-47.78571429,-38.19354839,-35.35483871,-36.03571429,-31.67741935,14.83870968,15.17857143,10.87096774,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,No Limit,Open,Open,Yes,Yes,624.8522
Massachusetts,3/10/2021,3/31/2021,22.74,10.87,215.7273845,3.231414224,-28.71111111,-16.56666667,-11.86666667,-56.44444444,-34.47777778,13.3,LOW,LOW,AVG,LOW,LOW,HIGH,7.624980301,6.360075613,26.3716736,6.335402776,12.17589051,4.672294627,LOW,AVG,AVG,LOW,HIGH,AVG,-33.29032258,-31.89285714,-21.25806452,-19.22580645,-17.96428571,-12.64516129,-19.38709677,-25.32142857,7.806451613,-59.41935484,-57.82142857,-52.22580645,-35.80645161,-35.39285714,-32.32258065,14.70967742,14.10714286,11.16129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Rolled Back to High Risk Groups,Lifted,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open,Open,Yes,Yes,886.1846
Michigan,3/10/2021,3/31/2021,18.37,10.27,402.1414403,0.919446021,-22.36666667,-11.01111111,14.23333333,-30.78888889,-25.61111111,9.766666667,LOW,AVG,HIGH,AVG,AVG,AVG,10.96516445,6.920892396,33.42039006,8.666731489,11.51422612,4.282312722,AVG,AVG,HIGH,AVG,AVG,AVG,-32.32258065,-24.35714286,-10.61290323,-15.03225806,-12.60714286,-5.548387097,0.032258065,-1.964285714,43.06451613,-37.87096774,-33.25,-21.48387097,-27.70967742,-25.39285714,-23.70967742,11.64516129,10.07142857,7.612903226,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,176.7352
Minnesota,3/10/2021,3/31/2021,21.02,10.95,206.8103234,1.12928826,-21.2,-12.36666667,-0.788888889,-40.11111111,-27.08888889,11.25555556,AVG,LOW,AVG,LOW,AVG,HIGH,8.784818365,6.214246047,25.262885,9.698192168,12.27644538,4.090441341,AVG,AVG,AVG,AVG,HIGH,AVG,-27.83870968,-23.96428571,-12.06451613,-16.38709677,-14.17857143,-6.709677419,-2.064516129,-16.89285714,15.03225806,-47.41935484,-43.14285714,-30.06451613,-29.19354839,-26.71428571,-25.32258065,12.80645161,11.60714286,9.387096774,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,71.6641
Mississippi,3/10/2021,3/31/2021,17.58,9.74,49.70312911,1.145699247,-9.666666667,-7.766666667,-9.722222222,3.211111111,-21.76666667,6.533333333,HIGH,AVG,AVG,HIGH,AVG,LOW,14.44633619,9.505823171,17.81681303,14.82140454,12.5761054,5.747886764,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,-14.38709677,-18.25,2.806451613,-10.64516129,-11.53571429,-1.483870968,-14.09677419,-21.78571429,5.548387097,-3.451612903,-4.892857143,17.19354839,-21.41935484,-25.85714286,-18.41935484,7.322580645,9.25,3.290322581,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,63.2187
Missouri,3/10/2021,3/31/2021,17.28,9.2,70.33951016,1.069802436,-11.86666667,-6.355555556,1.355555556,-15.42222222,-21.88888889,7.622222222,HIGH,AVG,AVG,AVG,AVG,AVG,13.66303962,9.286103077,37.48597074,12.22630961,11.81357479,4.868097886,HIGH,HIGH,HIGH,HIGH,AVG,HIGH,-18.48387097,-19.46428571,1.612903226,-10.93548387,-9.607142857,1.161290323,-16.09677419,-17.96428571,36.25806452,-22.22580645,-21.82142857,-2.838709677,-22.70967742,-24.03571429,-19.12903226,9,9.642857143,4.419354839,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,89.7419
Montana,3/10/2021,3/31/2021,21.03,11.8,89.42404255,0.605580424,-7.266666667,-0.155555556,2.044444444,-3.211111111,-15.56666667,5.5,HIGH,HIGH,AVG,HIGH,HIGH,LOW,9.935522469,7.00868019,19.82276022,11.53645365,7.19558229,2.748850628,AVG,AVG,LOW,AVG,LOW,LOW,-13.19354839,-12.82142857,3.677419355,-5.548387097,-2.714285714,7.548387097,-4.129032258,-14.17857143,22.87096774,-11.48387097,-8.75,10.06451613,-16.5483871,-15.46428571,-14.67741935,6.709677419,6.5,3.387096774,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,7.4547
Nebraska,3/10/2021,3/31/2021,20.51,11.12,131.7239696,0.820880575,-11.85555556,-6.422222222,-2.133333333,-15.85555556,-19.97777778,7.833333333,HIGH,AVG,AVG,AVG,HIGH,AVG,12.1540312,8.406762631,33.33325094,11.60836691,10.01008231,4.47276402,HIGH,AVG,HIGH,HIGH,AVG,AVG,-18.83870968,-16.85714286,-0.35483871,-10.87096774,-8.464285714,-0.129032258,-18.4516129,-21.82142857,31.96774194,-23.35483871,-21.17857143,-3.548387097,-22.38709677,-19.5,-18,9.967741935,8.428571429,5.161290323,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,25.4087
Nevada,3/10/2021,3/31/2021,17.96,9.88,75.25319835,1.701055098,-18.27777778,-9.022222222,-25.42222222,-36.48888889,-29.81111111,9.288888889,AVG,AVG,LOW,AVG,AVG,AVG,7.606956866,5.518055711,13.64063475,8.649536513,7.974530305,3.166696235,LOW,LOW,LOW,AVG,LOW,LOW,-25.22580645,-19.85714286,-9.903225806,-14.35483871,-9.071428571,-3.64516129,-35.03225806,-27.07142857,-14.32258065,-44.06451613,-39,-26.64516129,-32.29032258,-29.17857143,-27.90322581,11.19354839,9.285714286,7.387096774,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,Limit >50,Open with Service Limits,Open with Service Limits,Yes,Yes,29.0195
New Hampshire,3/10/2021,3/31/2021,21.91,9.44,201.5220035,0.759028262,-16.62222222,-7.677777778,10.61111111,-29.93333333,-23.73333333,10.37777778,AVG,AVG,HIGH,AVG,AVG,AVG,9.119158469,7.401530024,25.44908751,8.003931618,11.19169034,4.185522876,AVG,AVG,AVG,LOW,AVG,AVG,-21.67741935,-20.14285714,-8.387096774,-11.19354839,-8.857142857,-3.096774194,1.35483871,4.25,25.61290323,-34.41935484,-31.60714286,-23.93548387,-25.29032258,-24.53571429,-21.4516129,11.74193548,11.03571429,8.419354839,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Paused,Lifted,From Certain States,All Non-Essential Businesses Open,No Limit,Open,Open,Yes,Yes,153.2671
New Jersey,3/10/2021,3/31/2021,21.07,10.73,351.1529826,3.058942757,-26.05555556,-11.61111111,-2.933333333,-45.64444444,-33.61111111,13.24444444,LOW,LOW,AVG,LOW,LOW,HIGH,11.18321486,10.3584026,37.62971573,9.096623785,14.27002393,5.720672372,AVG,HIGH,HIGH,AVG,HIGH,HIGH,-29.74193548,-31.57142857,-17.38709677,-13.48387097,-15.75,-6,-11.90322581,-26.71428571,27.51612903,-48.29032258,-49.42857143,-39.58064516,-33.83870968,-36.07142857,-31.16129032,13.96774194,15.25,10.70967742,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,>25 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,1206.7609
New Mexico,3/10/2021,3/31/2021,26.06,14.56,66.99794238,1.36234015,-21.4,-9.966666667,-14.77777778,-14.82222222,-30.54444444,10.26666667,AVG,AVG,LOW,AVG,LOW,AVG,9.449808273,6.305784753,15.43291228,10.09124415,9.624595262,3.844739584,AVG,AVG,LOW,AVG,AVG,AVG,-29.32258065,-24.14285714,-11,-15,-10.57142857,-4.387096774,-23.29032258,-19.14285714,-2.322580645,-22.12903226,-19,-3.741935484,-32.19354839,-30.5,-28.93548387,12.35483871,10.82142857,7.677419355,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,Lifted,Some Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,17.354
New York,3/10/2021,3/31/2021,19.44,9.48,143.606663,0.752650063,-32.18888889,-14.77777778,-24.74444444,-49.02222222,-33.83333333,12.14444444,LOW,LOW,LOW,LOW,LOW,HIGH,8.893747892,7.84653044,22.20262213,6.391669047,11.19615705,4.626647562,AVG,AVG,AVG,LOW,AVG,AVG,-36.61290323,-36.42857143,-23.93548387,-17.03225806,-17.17857143,-10.35483871,-31.16129032,-37.21428571,-7.064516129,-52.03225806,-50.78571429,-44.41935484,-34.4516129,-35.39285714,-31.80645161,13.22580645,13.46428571,9.870967742,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,From Certain States,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,409.5404
North Carolina,3/10/2021,3/31/2021,18.18,9.92,134.8456018,1.57162706,-16.83333333,-6.433333333,-1.666666667,-31.02222222,-25.77777778,8.422222222,AVG,AVG,AVG,AVG,AVG,AVG,7.928401514,6.262156716,24.48205029,7.783557688,9.735580265,3.668811086,LOW,AVG,AVG,LOW,AVG,AVG,-22.87096774,-19.39285714,-8.483870968,-10.61290323,-7.571428571,-1.225806452,-13.4516129,-11.60714286,19.09677419,-36.5483871,-33.96428571,-22.83870968,-28.19354839,-25.25,-23.83870968,10.25806452,8.857142857,6.193548387,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>50 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,220.1037
North Dakota,3/10/2021,3/31/2021,22.97,12.28,162.8088896,0.147873651,-12.21111111,-13.8,-8.033333333,-20.42222222,-16.73333333,6.422222222,HIGH,LOW,AVG,AVG,HIGH,LOW,7.972557489,5.411598032,19.0035183,8.781975639,7.71660984,3.378643361,LOW,LOW,LOW,AVG,LOW,LOW,-17.58064516,-15.64285714,-3.741935484,-17.38709677,-14.96428571,-9.161290323,-14.22580645,-20.53571429,9.451612903,-26.87096774,-24.42857143,-10.35483871,-17.93548387,-16.21428571,-16,8.096774194,6.928571429,4.290322581,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,11.1596
Ohio,3/10/2021,3/31/2021,18.04,10.35,111.8128217,1.933487845,-16.52222222,-9.088888889,15.93333333,-20.58888889,-23.12222222,8.388888889,AVG,AVG,HIGH,AVG,AVG,AVG,10.38498027,7.523214178,44.23425893,9.335078756,10.68741545,4.212593331,AVG,AVG,HIGH,AVG,AVG,AVG,-22.80645161,-21.53571429,-5.709677419,-13.4516129,-11.03571429,-2.967741935,-5.483870968,-8.214285714,59.16129032,-26.19354839,-25.32142857,-10.70967742,-24.77419355,-23.39285714,-21.22580645,9.967741935,9.5,5.806451613,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,286.6939
Oklahoma,3/10/2021,3/31/2021,21.22,12.11,36.91646183,0.400106162,-10.81111111,-5.011111111,-8.288888889,-5.422222222,-23.06666667,7.722222222,HIGH,HIGH,AVG,HIGH,AVG,AVG,15.27198687,10.84983762,31.40394466,15.41193014,14.1649988,5.968132183,HIGH,HIGH,AVG,HIGH,HIGH,HIGH,-15.4516129,-20.96428571,3,-8.967741935,-10.25,3.677419355,-20.61290323,-29.89285714,23.5483871,-11.70967742,-15.53571429,10,-21.96774194,-28.60714286,-19.16129032,8.419354839,11.28571429,3.806451613,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,58.1739
Oregon,3/10/2021,3/31/2021,18.61,10.6,68.47158494,0.390968319,-21.93333333,-8.833333333,12.47777778,-34.73333333,-31.75555556,9.577777778,AVG,AVG,HIGH,AVG,LOW,AVG,9.899267933,5.380468214,28.73326686,8.984130828,11.37641075,3.693230302,AVG,LOW,AVG,AVG,AVG,AVG,-29.12903226,-25.53571429,-11.48387097,-12.48387097,-9.75,-4.35483871,2.677419355,0.571428571,33.03225806,-39.38709677,-38.64285714,-26.5483871,-32.51612903,-33.28571429,-29.61290323,11.12903226,10.14285714,7.516129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,44.6873
Pennsylvania,3/10/2021,3/31/2021,19.3,9.08,222.3694011,1.708716715,-21.65555556,-10.84444444,-7.922222222,-38.46666667,-28.21111111,10.51111111,AVG,AVG,AVG,AVG,AVG,AVG,11.71013305,9.487912015,34.19515301,8.885286411,12.26898386,4.878857032,HIGH,HIGH,HIGH,AVG,HIGH,HIGH,-27.64516129,-26.75,-11.06451613,-14.38709677,-14.03571429,-4.419354839,-18.38709677,-29.39285714,21.93548387,-42.32258065,-41.96428571,-31.4516129,-29.77419355,-29.85714286,-25.16129032,11.80645161,12.07142857,7.806451613,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,Limit > 50,Open with Service Limits,Open with Service Limits,Yes,Yes,286.1699
Rhode Island,3/10/2021,3/31/2021,23.24,9.18,287.4188457,1.520231911,-22.53333333,-12.62222222,21.85555556,-45.47777778,-28.2,10.14444444,LOW,LOW,HIGH,LOW,AVG,AVG,8.698701957,6.738415407,45.48775885,9.74763328,10.91458153,4.06564425,AVG,AVG,HIGH,AVG,AVG,AVG,-27.61290323,-26.35714286,-14,-15.41935484,-14.10714286,-8.483870968,9.903225806,-3.571428571,56.77419355,-49.58064516,-49.46428571,-37.77419355,-29.90322581,-29.25,-25.5483871,11.61290323,11.07142857,7.838709677,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,From Certain States,All Non-Essential Businesses Open with Limits,>25 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,1026.6054
South Carolina,3/10/2021,3/31/2021,17.53,10.03,139.9245975,1.187814919,-9.8,-5.1,-4.533333333,-8.777777778,-21.16666667,6.755555556,HIGH,HIGH,AVG,HIGH,HIGH,LOW,9.203321335,5.953093804,24.86331172,12.02878362,8.110542453,3.177558639,AVG,LOW,AVG,HIGH,LOW,LOW,-17.74193548,-12.53571429,0.612903226,-10.06451613,-6.285714286,0.935483871,-18.67741935,-13.85714286,18.03225806,-16.12903226,-13.71428571,3.032258065,-24.32258065,-20.42857143,-18.67741935,8.774193548,6.928571429,4.580645161,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,175.5707
South Dakota,3/10/2021,3/31/2021,24.53,13.12,170.2475024,1.348252359,-6.166666667,3.677777778,13.82222222,-3.633333333,-14.17777778,5.888888889,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,9.948462701,8.374423043,32.29797286,12.06299011,8.270127341,3.465542889,AVG,AVG,AVG,HIGH,LOW,LOW,-11.19354839,-11.07142857,3.290322581,-0.580645161,0.214285714,11.06451613,3.161290323,-5.535714286,41.96774194,-12.87096774,-8,9.548387097,-15.06451613,-14.14285714,-13.32258065,7.35483871,6.321428571,4.032258065,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,-,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,11.8265
Tennessee,3/10/2021,3/31/2021,15.99,8.67,115.6892577,1.762883927,-13.51111111,-6.277777778,3.4,-18.14444444,-23.53333333,7.911111111,AVG,AVG,AVG,AVG,AVG,AVG,11.96365699,8.040665993,30.2669026,11.99115883,11.79525709,5.215888528,HIGH,AVG,AVG,HIGH,AVG,HIGH,-18.4516129,-21.25,-1.580645161,-9.548387097,-9.392857143,-0.193548387,-9.806451613,-15.03571429,33.25806452,-23.16129032,-25.71428571,-6.290322581,-24.16129032,-26.32142857,-20.38709677,8.967741935,10.28571429,4.709677419,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,168.4069
Texas,3/10/2021,3/31/2021,16.35,8.76,105.807882,0.642630259,-17.65555556,-10.82222222,-19.16666667,-26.54444444,-29.48888889,9.6,AVG,AVG,LOW,AVG,AVG,AVG,12.60743593,7.373773412,21.49013361,11.48145658,15.0357211,5.305922068,HIGH,AVG,AVG,AVG,HIGH,HIGH,-21.70967742,-25.17857143,-6.806451613,-13.70967742,-13.46428571,-5.548387097,-27.5483871,-33.28571429,1.967741935,-30.93548387,-33.46428571,-15.90322581,-28.58064516,-34.17857143,-26.16129032,10.77419355,12.07142857,6.193548387,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,113.808
Utah,3/10/2021,3/31/2021,16.51,7.61,105.1249117,1.44600979,-13.25555556,-5.788888889,14.43333333,-29.68888889,-25.98888889,8.355555556,AVG,HIGH,HIGH,AVG,AVG,AVG,7.669523975,5.965244741,26.0574344,8.534983455,9.406541406,3.275071356,LOW,LOW,AVG,AVG,LOW,LOW,-18.93548387,-15.75,-5.322580645,-11.25806452,-5.928571429,-0.193548387,-1.032258065,2.535714286,40.64516129,-36.06451613,-31.57142857,-21.61290323,-27.83870968,-25.25,-24.80645161,9.806451613,8.607142857,6.677419355,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,Yes,Yes,40.2917
Vermont,3/10/2021,3/31/2021,21.28,11.21,239.0095572,0.799363068,-23.47777778,-11.8,-0.888888889,-45.92222222,-26.67777778,11,LOW,LOW,AVG,LOW,AVG,HIGH,8.413776528,7.319667212,21.73251302,6.799252731,8.877224713,3.741657387,LOW,AVG,AVG,LOW,LOW,AVG,-28.77419355,-26.07142857,-15.83870968,-16.80645161,-12.10714286,-6.516129032,-12.80645161,-3.071428571,13,-48.48387097,-46.92857143,-42.4516129,-27.41935484,-27.25,-25.41935484,12.06451613,11.46428571,9.516129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,New Restrictions Imposed,Lifted,All Travelers,Some Non-Essential Businesses Open with Limits,All Gatherings Prohibited,Open with Service Limits,Closed,Yes,Yes,67.6197
Virginia,3/10/2021,3/31/2021,19.73,11.13,131.4916927,1.522154522,-21.66666667,-9.688888889,-0.411111111,-36.75555556,-30.33333333,11.47777778,AVG,AVG,AVG,AVG,LOW,HIGH,9.538803072,8.452968954,29.37433507,8.857563404,12.21989536,4.743363851,AVG,AVG,AVG,AVG,HIGH,AVG,-26.87096774,-25.5,-13,-13.22580645,-12.14285714,-3.935483871,-11.12903226,-18.39285714,26.5483871,-40.25806452,-41.14285714,-29.29032258,-32.22580645,-31.60714286,-27.29032258,13,12.78571429,8.774193548,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,217.8774
Washington,3/10/2021,3/31/2021,19.3,10.76,103.6844715,0.697462454,-23.55555556,-12,8.144444444,-46.35555556,-33.81111111,11.16666667,LOW,LOW,AVG,LOW,LOW,HIGH,9.215413458,5.369493521,28.08276736,7.778262871,12.1691214,3.978170773,AVG,LOW,AVG,LOW,HIGH,AVG,-29.83870968,-26.89285714,-14.25806452,-15.22580645,-13.42857143,-7.483870968,-1,-4.607142857,28.80645161,-50.80645161,-48.78571429,-39.70967742,-34.58064516,-35.17857143,-31.80645161,12.41935484,12.07142857,9.096774194,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Closed,Yes,Yes,117.3248
West Virginia,3/10/2021,3/31/2021,20.67,12.99,157.7968107,3.080280208,-13.23333333,-5.588888889,-0.8,-14.24444444,-21.36666667,7.222222222,AVG,HIGH,AVG,HIGH,HIGH,LOW,12.63226651,9.229769185,25.55725012,12.69903218,9.734047739,4.013398285,HIGH,HIGH,AVG,HIGH,AVG,AVG,-20.58064516,-19.96428571,0.193548387,-10.83870968,-8.821428571,2.580645161,-13.19354839,-15.07142857,24.48387097,-22.03225806,-20.92857143,-0.419354839,-23.51612903,-23.17857143,-17.58064516,8.935483871,8.714285714,4.161290323,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,Limit > 50,Open,Open,Yes,Yes,73.5444
