state,vacc_date,effective_date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,cumuluative_new_case_7_per100000,cumuluative_new_death_7_per100000,Mean_retail_and_recreation_percent_change_from_baseline,Mean_grocery_and_pharmacy_percent_change_from_baseline,Mean_parks_percent_change_from_baseline,Mean_transit_stations_percent_change_from_baseline,Mean_workplaces_percent_change_from_baseline,Mean_residential_percent_change_from_baseline,retail_mean,grocery_mean,parks_mean,transit_mean,workplace_mean,residential_mean,SD_retail_and_recreation_percent_change_from_baseline,SD_grocery_and_pharmacy_percent_change_from_baseline,SD_parks_percent_change_from_baseline,SD_transit_stations_percent_change_from_baseline,SD_workplaces_percent_change_from_baseline,SD_residential_percent_change_from_baseline,retail_sd,grocery_sd,parks_sd,transit_sd,workplace_sd,residential_sd,retail_and_recreation_percent_change_from_baseline_2021-01,retail_and_recreation_percent_change_from_baseline_2021-02,retail_and_recreation_percent_change_from_baseline_2021-03,grocery_and_pharmacy_percent_change_from_baseline_2021-01,grocery_and_pharmacy_percent_change_from_baseline_2021-02,grocery_and_pharmacy_percent_change_from_baseline_2021-03,parks_percent_change_from_baseline_2021-01,parks_percent_change_from_baseline_2021-02,parks_percent_change_from_baseline_2021-03,transit_stations_percent_change_from_baseline_2021-01,transit_stations_percent_change_from_baseline_2021-02,transit_stations_percent_change_from_baseline_2021-03,workplaces_percent_change_from_baseline_2021-01,workplaces_percent_change_from_baseline_2021-02,workplaces_percent_change_from_baseline_2021-03,residential_percent_change_from_baseline_2021-01,residential_percent_change_from_baseline_2021-02,residential_percent_change_from_baseline_2021-03,JF_change_retail,FM_change_retail,retail_pattern,JF_change_grocery,FM_change_grocery,grocery_pattern,JF_change_parks,FM_change_parks,parks_pattern,JF_change_transit,FM_change_transit,transit_pattern,JF_change_workplace,FM_change_workplace,workplaces_pattern,JF_change_residential,FM_change_residential,residential_pattern,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Statewide Face Mask Requirement,Emergency Declaration,Density
Georgia,3/10/2021,3/31/2021,13.39,8.59,104.492541,4.066057897,-14.74444444,-7.566666667,-2.622222222,-28.82222222,-25.88888889,8.366666667,AVG,AVG,AVG,AVG,AVG,AVG,7.258565047,5.212452678,27.94560438,7.886238587,9.413645898,3.633335051,LOW,LOW,AVG,LOW,LOW,LOW,-20.35483871,-17.10714286,-7,-11.51612903,-8.5,-2.774193548,-16.96774194,-11.57142857,19.80645161,-34.16129032,-31.57142857,-21,-28.32258065,-25.07142857,-24.19354839,10.32258065,8.571428571,6.225806452,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,188.3053
Hawaii,3/10/2021,3/31/2021,20.83,13.04,50.56027239,0.440292648,-31.73333333,-19.98888889,-40.25555556,-52.48888889,-31.81111111,11.08888889,LOW,LOW,LOW,LOW,LOW,HIGH,5.402454706,5.482340279,8.052581568,5.522669206,7.642128129,3.303537241,LOW,LOW,LOW,LOW,LOW,LOW,-36.41935484,-32.53571429,-26.32258065,-24.41935484,-20.14285714,-15.41935484,-43.90322581,-40,-36.83870968,-57.29032258,-53.67857143,-46.61290323,-33.16129032,-31.42857143,-30.80645161,12.16129032,10.92857143,10.16129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,All Travelers,Some Non-Essential Businesses Open with Limits,>10 Prohibited,Open,Open,Yes,Yes,218.9678
Idaho,3/10/2021,3/31/2021,17.29,10.2,126.4189442,0.637835238,-5.444444444,-0.622222222,25.5,-7.622222222,-19.08888889,5.577777778,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,8.400255629,5.855138486,30.29823668,12.17529067,8.090283317,2.960328625,LOW,LOW,AVG,HIGH,LOW,LOW,-10.70967742,-9.142857143,3.161290323,-5.580645161,-1.321428571,4.967741935,11.4516129,7.535714286,55.77419355,-16.80645161,-12.14285714,5.64516129,-20.5483871,-18.21428571,-18.41935484,7.129032258,6.142857143,3.516129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Dec,Inc Dec,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open,>50 Prohibited,Open,Open,No,Yes,22.5079
Illinois,3/10/2021,3/31/2021,19.35,9.48,131.6062402,1.333451862,-24.04444444,-10.6,-18.86666667,-39.65555556,-28.68888889,10.64444444,LOW,AVG,LOW,LOW,AVG,AVG,10.15819934,8.006738735,31.10193462,9.372636614,12.11150854,4.579659747,AVG,AVG,AVG,AVG,AVG,AVG,-31.38709677,-27.78571429,-13.32258065,-14.64516129,-12.5,-4.838709677,-31.61290323,-36.5,9.806451613,-44.67741935,-42.78571429,-31.80645161,-30.5483871,-28.96428571,-26.58064516,12.4516129,11.57142857,8,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>50 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,226.3964
Indiana,3/10/2021,3/31/2021,17.63,11.07,99.46758399,0.98681218,-13.1,-7.888888889,7.7,-11.81111111,-21.56666667,7.455555556,AVG,AVG,AVG,HIGH,AVG,LOW,10.83486881,7.528887356,37.95605087,10.73259704,10.14728613,4.427090025,AVG,AVG,HIGH,AVG,AVG,AVG,-18.90322581,-18.64285714,-2.290322581,-11.77419355,-9.571428571,-2.483870968,-9.129032258,-12.39285714,42.67741935,-18.74193548,-16.35714286,-0.774193548,-22.74193548,-21.92857143,-20.06451613,9.064516129,8.714285714,4.709677419,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,189.9643
Iowa,3/10/2021,3/31/2021,21.03,10.24,124.489524,1.77185933,-10.72222222,4.155555556,2.344444444,-19.47777778,-18.06666667,7.477777778,HIGH,HIGH,AVG,AVG,HIGH,AVG,11.53794695,9.74265625,31.32904784,9.690987099,11.02785034,4.073007275,AVG,HIGH,AVG,AVG,AVG,AVG,-17.29032258,-15.92857143,0.548387097,-0.903225806,1.607142857,11.51612903,-9.870967742,-17.75,32.70967742,-25.4516129,-24.07142857,-9.35483871,-19.80645161,-17.64285714,-16.70967742,9.322580645,8.178571429,5,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,-,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,56.7157
Kansas,3/10/2021,3/31/2021,18.26,9.38,50.68071744,1.122341148,-13.87777778,-9.055555556,8.488888889,-7.411111111,-21.32222222,7.366666667,AVG,AVG,HIGH,HIGH,HIGH,LOW,12.00264744,8.152150211,40.40337188,13.20784109,11.23680527,4.187863685,HIGH,AVG,HIGH,HIGH,AVG,AVG,-19.87096774,-19.82142857,-2.516129032,-13.35483871,-11.07142857,-2.935483871,-10.09677419,-10.53571429,44.25806452,-15.09677419,-13.78571429,6.032258065,-22.70967742,-21.85714286,-19.4516129,8.870967742,8.642857143,4.709677419,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,From Certain States,All Non-Essential Businesses Open,No Limit,Open,Open,Yes,Yes,35.6807
Kentucky,3/10/2021,3/31/2021,19.95,10.21,96.35573931,2.649667628,-16.54444444,-5.011111111,9.422222222,-12.57777778,-24.68888889,8.255555556,AVG,HIGH,HIGH,HIGH,AVG,AVG,12.71746663,9.767516037,38.26430195,11.64356193,12.16057772,5.053780676,HIGH,HIGH,HIGH,HIGH,AVG,HIGH,-22.12903226,-24.60714286,-3.677419355,-9.161290323,-9.071428571,2.806451613,-8.677419355,-13.39285714,48.12903226,-18.12903226,-19.14285714,-1.096774194,-25.32258065,-27.71428571,-21.32258065,9.35483871,10.71428571,4.935483871,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,No Limit,Open with Service Limits,Open with Service Limits,Yes,Yes,113.4759
Louisiana,3/10/2021,3/31/2021,17.75,10.23,59.87277036,1.876543319,-15.54444444,-5.266666667,-23.54444444,-19.72222222,-23.34444444,7.022222222,AVG,HIGH,LOW,AVG,AVG,LOW,12.15088762,8.592915818,18.19937097,11.23500527,11.07600008,5.012294498,HIGH,AVG,LOW,AVG,AVG,HIGH,-20.96774194,-21.92857143,-4.35483871,-9.032258065,-8.142857143,1.096774194,-31.51612903,-32.42857143,-7.548387097,-24.80645161,-25.17857143,-9.709677419,-23.90322581,-26.78571429,-19.67741935,8.064516129,9.071428571,4.129032258,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,Limit > 50,Open,Open,Yes,Yes,107.0966
Maine,3/10/2021,3/31/2021,22.07,11.64,120.1579434,0.90287747,-15.66666667,-4.766666667,9.844444444,-29.44444444,-23.07777778,8.522222222,AVG,HIGH,HIGH,AVG,AVG,AVG,11.69077231,9.305127256,21.88884643,10.17831039,10.28495987,3.8372151,HIGH,HIGH,AVG,AVG,AVG,AVG,-22.25806452,-19.82142857,-5.322580645,-9.129032258,-6.035714286,0.741935484,3.483870968,4.821428571,20.74193548,-31.61290323,-33.89285714,-23.25806452,-24.03225806,-24.25,-21.06451613,9.677419355,9.214285714,6.741935484,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,All Travelers,All Non-Essential Businesses Open with Limits,>50 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,43.9166
