"state","vacc_date","effective_date","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","cumuluative_new_case_7_per100000","cumuluative_new_death_7_per100000","Mean_retail_and_recreation_percent_change_from_baseline","Mean_grocery_and_pharmacy_percent_change_from_baseline","Mean_parks_percent_change_from_baseline","Mean_transit_stations_percent_change_from_baseline","Mean_workplaces_percent_change_from_baseline","Mean_residential_percent_change_from_baseline","retail_mean","grocery_mean","parks_mean","transit_mean","workplace_mean","residential_mean","SD_retail_and_recreation_percent_change_from_baseline","SD_grocery_and_pharmacy_percent_change_from_baseline","SD_parks_percent_change_from_baseline","SD_transit_stations_percent_change_from_baseline","SD_workplaces_percent_change_from_baseline","SD_residential_percent_change_from_baseline","retail_sd","grocery_sd","parks_sd","transit_sd","workplace_sd","residential_sd","retail_and_recreation_percent_change_from_baseline_2021.01","retail_and_recreation_percent_change_from_baseline_2021.02","retail_and_recreation_percent_change_from_baseline_2021.03","grocery_and_pharmacy_percent_change_from_baseline_2021.01","grocery_and_pharmacy_percent_change_from_baseline_2021.02","grocery_and_pharmacy_percent_change_from_baseline_2021.03","parks_percent_change_from_baseline_2021.01","parks_percent_change_from_baseline_2021.02","parks_percent_change_from_baseline_2021.03","transit_stations_percent_change_from_baseline_2021.01","transit_stations_percent_change_from_baseline_2021.02","transit_stations_percent_change_from_baseline_2021.03","workplaces_percent_change_from_baseline_2021.01","workplaces_percent_change_from_baseline_2021.02","workplaces_percent_change_from_baseline_2021.03","residential_percent_change_from_baseline_2021.01","residential_percent_change_from_baseline_2021.02","residential_percent_change_from_baseline_2021.03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"Georgia",2021-03-17,2021-03-31,16.11,9.89,104.492541048399,4.06605789716456,-14.7444444444444,-7.56666666666667,-2.62222222222222,-28.8222222222222,-25.8888888888889,8.36666666666667,"AVG","AVG","AVG","AVG","AVG","AVG",7.25856504702016,5.21245267809199,27.9456043769858,7.88623858700623,9.41364589777198,3.63333505136887,"LOW","LOW","AVG","LOW","LOW","LOW",-20.3548387096774,-17.1071428571429,-7,-11.5161290322581,-8.5,-2.7741935483871,-16.9677419354839,-11.5714285714286,19.8064516129032,-34.1612903225806,-31.5714285714286,-21,-28.3225806451613,-25.0714285714286,-24.1935483870968,10.3225806451613,8.57142857142857,6.2258064516129,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Hawaii",2021-03-17,2021-03-31,24.67,15.25,50.5602723943848,0.440292647846602,-31.7333333333333,-19.9888888888889,-40.2555555555556,-52.4888888888889,-31.8111111111111,11.0888888888889,"LOW","LOW","LOW","LOW","LOW","HIGH",5.40245470632865,5.482340278689,8.05258156820589,5.52266920574236,7.64212812945885,3.30353724091652,"LOW","LOW","LOW","LOW","LOW","LOW",-36.4193548387097,-32.5357142857143,-26.3225806451613,-24.4193548387097,-20.1428571428571,-15.4193548387097,-43.9032258064516,-40,-36.8387096774194,-57.2903225806452,-53.6785714285714,-46.6129032258064,-33.1612903225806,-31.4285714285714,-30.8064516129032,12.1612903225806,10.9285714285714,10.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Idaho",2021-03-17,2021-03-31,19.53,12.07,126.418944216844,0.637835238228272,-5.44444444444444,-0.622222222222222,25.5,-7.62222222222222,-19.0888888888889,5.57777777777778,"HIGH","HIGH","HIGH","HIGH","HIGH","LOW",8.40025562895025,5.8551384861193,30.2982366824773,12.1752906688674,8.0902833167213,2.9603286250077,"LOW","LOW","AVG","HIGH","LOW","LOW",-10.7096774193548,-9.14285714285714,3.16129032258065,-5.58064516129032,-1.32142857142857,4.96774193548387,11.4516129032258,7.53571428571429,55.7741935483871,-16.8064516129032,-12.1428571428571,5.64516129032258,-20.5483870967742,-18.2142857142857,-18.4193548387097,7.12903225806452,6.14285714285714,3.51612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Illinois",2021-03-17,2021-03-31,22.96,12.57,131.606240242797,1.33345186238777,-24.0444444444444,-10.6,-18.8666666666667,-39.6555555555556,-28.6888888888889,10.6444444444444,"LOW","AVG","LOW","LOW","AVG","AVG",10.1581993351595,8.00673873487448,31.1019346195482,9.37263661429485,12.1115085435712,4.57965974672304,"AVG","AVG","AVG","AVG","AVG","AVG",-31.3870967741935,-27.7857142857143,-13.3225806451613,-14.6451612903226,-12.5,-4.83870967741935,-31.6129032258065,-36.5,9.80645161290323,-44.6774193548387,-42.7857142857143,-31.8064516129032,-30.5483870967742,-28.9642857142857,-26.5806451612903,12.4516129032258,11.5714285714286,8,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Indiana",2021-03-17,2021-03-31,19.98,13.01,99.4675839908226,0.986812180346094,-13.1,-7.88888888888889,7.7,-11.8111111111111,-21.5666666666667,7.45555555555556,"AVG","AVG","AVG","HIGH","AVG","LOW",10.834868805042,7.52888735597607,37.9560508714066,10.7325970389742,10.1472861263659,4.42709002533092,"AVG","AVG","HIGH","AVG","AVG","AVG",-18.9032258064516,-18.6428571428571,-2.29032258064516,-11.7741935483871,-9.57142857142857,-2.48387096774194,-9.12903225806452,-12.3928571428571,42.6774193548387,-18.741935483871,-16.3571428571429,-0.774193548387097,-22.741935483871,-21.9285714285714,-20.0645161290323,9.06451612903226,8.71428571428571,4.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Iowa",2021-03-17,2021-03-31,23.98,13.61,124.489524045772,1.77185933011905,-10.7222222222222,4.15555555555556,2.34444444444444,-19.4777777777778,-18.0666666666667,7.47777777777778,"HIGH","HIGH","AVG","AVG","HIGH","AVG",11.5379469458541,9.74265625029877,31.3290478382592,9.69098709942895,11.0278503411167,4.07300727530275,"AVG","HIGH","AVG","AVG","AVG","AVG",-17.2903225806452,-15.9285714285714,0.548387096774194,-0.903225806451613,1.60714285714286,11.5161290322581,-9.87096774193548,-17.75,32.7096774193548,-25.4516129032258,-24.0714285714286,-9.35483870967742,-19.8064516129032,-17.6428571428571,-16.7096774193548,9.32258064516129,8.17857142857143,5,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Kansas",2021-03-17,2021-03-31,21.91,11.67,50.6807174425493,1.12234114751666,-13.8777777777778,-9.05555555555556,8.48888888888889,-7.41111111111111,-21.3222222222222,7.36666666666667,"AVG","AVG","HIGH","HIGH","HIGH","LOW",12.0026474399626,8.15215021075278,40.4033718818828,13.2078410865399,11.2368052737,4.18786368536406,"HIGH","AVG","HIGH","HIGH","AVG","AVG",-19.8709677419355,-19.8214285714286,-2.51612903225806,-13.3548387096774,-11.0714285714286,-2.93548387096774,-10.0967741935484,-10.5357142857143,44.258064516129,-15.0967741935484,-13.7857142857143,6.03225806451613,-22.7096774193548,-21.8571428571429,-19.4516129032258,8.87096774193548,8.64285714285714,4.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Kentucky",2021-03-17,2021-03-31,24,12.52,96.3557393068055,2.6496676279968,-16.5444444444444,-5.01111111111111,9.42222222222222,-12.5777777777778,-24.6888888888889,8.25555555555556,"AVG","HIGH","HIGH","HIGH","AVG","AVG",12.7174666326694,9.76751603725724,38.2643019535834,11.6435619263216,12.160577718059,5.05378067649284,"HIGH","HIGH","HIGH","HIGH","AVG","HIGH",-22.1290322580645,-24.6071428571429,-3.67741935483871,-9.16129032258065,-9.07142857142857,2.80645161290323,-8.67741935483871,-13.3928571428571,48.1290322580645,-18.1290322580645,-19.1428571428571,-1.09677419354839,-25.3225806451613,-27.7142857142857,-21.3225806451613,9.35483870967742,10.7142857142857,4.93548387096774,"Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Louisiana",2021-03-17,2021-03-31,20.72,12.12,59.8727703629787,1.87654331889867,-15.5444444444444,-5.26666666666667,-23.5444444444444,-19.7222222222222,-23.3444444444444,7.02222222222222,"AVG","HIGH","LOW","AVG","AVG","LOW",12.1508876183022,8.59291581753196,18.1993709677141,11.2350052657241,11.0760000802536,5.01229449751685,"HIGH","AVG","LOW","AVG","AVG","HIGH",-20.9677419354839,-21.9285714285714,-4.35483870967742,-9.03225806451613,-8.14285714285714,1.09677419354839,-31.5161290322581,-32.4285714285714,-7.54838709677419,-24.8064516129032,-25.1785714285714,-9.70967741935484,-23.9032258064516,-26.7857142857143,-19.6774193548387,8.06451612903226,9.07142857142857,4.12903225806452,"Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Maine",2021-03-17,2021-03-31,26.4,14.36,120.157943365506,0.902877470498479,-15.6666666666667,-4.76666666666667,9.84444444444444,-29.4444444444444,-23.0777777777778,8.52222222222222,"AVG","HIGH","HIGH","AVG","AVG","AVG",11.6907723142387,9.30512725643379,21.8888464292319,10.1783103949958,10.2849598686929,3.8372151002183,"HIGH","HIGH","AVG","AVG","AVG","AVG",-22.258064516129,-19.8214285714286,-5.32258064516129,-9.12903225806452,-6.03571428571429,0.741935483870968,3.48387096774194,4.82142857142857,20.741935483871,-31.6129032258065,-33.8928571428571,-23.258064516129,-24.0322580645161,-24.25,-21.0645161290323,9.67741935483871,9.21428571428571,6.74193548387097,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Dec","Dec Dec"
