"date","state","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","abb"
2021-01-24,"New Hampshire",5.88,0.98,"NH"
2021-01-25,"New Hampshire",5.93,1.02,"NH"
2021-01-26,"New Hampshire",5.99,1.14,"NH"
2021-01-27,"New Hampshire",6.24,1.34,"NH"
2021-01-28,"New Hampshire",6.52,1.6,"NH"
2021-01-29,"New Hampshire",6.79,1.84,"NH"
2021-01-30,"New Hampshire",7.07,2.03,"NH"
2021-01-31,"New Hampshire",7.25,2.19,"NH"
2021-02-01,"New Hampshire",7.36,2.24,"NH"
2021-02-02,"New Hampshire",7.6,2.38,"NH"
2021-02-03,"New Hampshire",7.65,2.51,"NH"
2021-02-04,"New Hampshire",7.95,2.71,"NH"
2021-02-05,"New Hampshire",8.28,2.98,"NH"
2021-02-06,"New Hampshire",8.57,3.23,"NH"
2021-02-07,"New Hampshire",8.79,3.35,"NH"
2021-02-08,"New Hampshire",8.81,3.39,"NH"
2021-02-09,"New Hampshire",8.91,3.49,"NH"
2021-02-10,"New Hampshire",9.23,3.72,"NH"
2021-02-11,"New Hampshire",9.62,3.91,"NH"
2021-02-12,"New Hampshire",9.95,4.1,"NH"
2021-02-13,"New Hampshire",10.38,4.37,"NH"
2021-02-14,"New Hampshire",10.79,4.53,"NH"
2021-02-15,"New Hampshire",NA,NA,"NH"
2021-02-16,"New Hampshire",11.12,4.8,"NH"
2021-02-17,"New Hampshire",11.18,4.86,"NH"
2021-02-18,"New Hampshire",11.55,5.12,"NH"
2021-02-19,"New Hampshire",12.24,5.5,"NH"
2021-02-20,"New Hampshire",12.63,5.76,"NH"
2021-02-21,"New Hampshire",13.17,5.99,"NH"
2021-02-22,"New Hampshire",14.13,6.27,"NH"
2021-02-23,"New Hampshire",14.53,6.35,"NH"
2021-02-24,"New Hampshire",14.95,6.54,"NH"
2021-02-25,"New Hampshire",15.44,6.74,"NH"
2021-02-26,"New Hampshire",15.87,6.97,"NH"
2021-02-27,"New Hampshire",16.5,7.18,"NH"
2021-02-28,"New Hampshire",17.17,7.35,"NH"
2021-03-01,"New Hampshire",17.39,7.37,"NH"
2021-03-02,"New Hampshire",17.75,7.44,"NH"
2021-03-03,"New Hampshire",18.26,7.61,"NH"
2021-03-04,"New Hampshire",18.81,7.84,"NH"
2021-03-05,"New Hampshire",19.26,8.06,"NH"
2021-03-06,"New Hampshire",19.87,8.41,"NH"
2021-03-07,"New Hampshire",20.51,8.62,"NH"
2021-03-08,"New Hampshire",20.76,8.83,"NH"
2021-03-09,"New Hampshire",21.31,9.08,"NH"
2021-03-10,"New Hampshire",21.91,9.44,"NH"
2021-03-11,"New Hampshire",22.57,9.91,"NH"
2021-03-12,"New Hampshire",23.21,10.36,"NH"
2021-03-13,"New Hampshire",24.11,11.08,"NH"
2021-03-14,"New Hampshire",24.54,11.45,"NH"
2021-03-15,"New Hampshire",24.74,11.63,"NH"
2021-03-16,"New Hampshire",25,11.84,"NH"
2021-03-17,"New Hampshire",25.44,12,"NH"
2021-03-18,"New Hampshire",25.95,12.33,"NH"
2021-03-19,"New Hampshire",26.45,12.69,"NH"
2021-03-20,"New Hampshire",27.09,13.09,"NH"
2021-03-21,"New Hampshire",27.74,13.6,"NH"
2021-03-22,"New Hampshire",28.02,14.01,"NH"
2021-03-23,"New Hampshire",28.32,14.32,"NH"
2021-03-24,"New Hampshire",28.68,14.72,"NH"
2021-03-25,"New Hampshire",29.08,15.19,"NH"
2021-03-26,"New Hampshire",29.39,15.56,"NH"
2021-03-27,"New Hampshire",29.7,16.15,"NH"
2021-03-28,"New Hampshire",30.04,16.79,"NH"
2021-03-29,"New Hampshire",30.18,16.99,"NH"
2021-03-30,"New Hampshire",30.3,17.22,"NH"
2021-03-31,"New Hampshire",30.5,17.64,"NH"
2021-04-01,"New Hampshire",36.79,18.19,"NH"
2021-04-02,"New Hampshire",37.46,18.56,"NH"
2021-04-03,"New Hampshire",40.14,19.2,"NH"
2021-04-04,"New Hampshire",40.35,19.73,"NH"
2021-04-05,"New Hampshire",41.9,19.87,"NH"
2021-04-06,"New Hampshire",41.98,20.1,"NH"
2021-04-07,"New Hampshire",43.58,20.78,"NH"
2021-04-08,"New Hampshire",45.12,21.56,"NH"
2021-04-09,"New Hampshire",46.91,22.16,"NH"
2021-04-10,"New Hampshire",48.73,23.07,"NH"
2021-04-11,"New Hampshire",50.91,24.07,"NH"
2021-04-12,"New Hampshire",52.31,24.99,"NH"
2021-01-12,"New Jersey",2.33,0.16,"NJ"
2021-01-13,"New Jersey",2.66,0.3,"NJ"
2021-01-14,"New Jersey",2.65,NA,"NJ"
2021-01-15,"New Jersey",3.14,0.41,"NJ"
2021-01-16,"New Jersey",NA,NA,"NJ"
2021-01-17,"New Jersey",NA,NA,"NJ"
2021-01-18,"New Jersey",NA,NA,"NJ"
2021-01-19,"New Jersey",3.99,0.49,"NJ"
2021-01-20,"New Jersey",4.29,0.56,"NJ"
2021-01-21,"New Jersey",4.29,0.56,"NJ"
2021-01-22,"New Jersey",4.58,0.63,"NJ"
2021-01-23,"New Jersey",4.93,0.69,"NJ"
2021-01-24,"New Jersey",5.28,0.73,"NJ"
2021-01-25,"New Jersey",5.54,0.78,"NJ"
2021-01-26,"New Jersey",5.65,0.81,"NJ"
2021-01-27,"New Jersey",5.97,0.9,"NJ"
2021-01-28,"New Jersey",6.28,0.99,"NJ"
2021-01-29,"New Jersey",6.94,1.22,"NJ"
2021-01-30,"New Jersey",7.31,1.33,"NJ"
2021-01-31,"New Jersey",7.54,1.39,"NJ"
2021-02-01,"New Jersey",7.66,1.44,"NJ"
2021-02-02,"New Jersey",7.85,1.54,"NJ"
2021-02-03,"New Jersey",7.93,1.64,"NJ"
2021-02-04,"New Jersey",7.93,1.64,"NJ"
2021-02-05,"New Jersey",8.16,1.77,"NJ"
2021-02-06,"New Jersey",8.91,2.24,"NJ"
2021-02-07,"New Jersey",9.15,2.37,"NJ"
2021-02-08,"New Jersey",9.26,2.49,"NJ"
2021-02-09,"New Jersey",9.58,2.71,"NJ"
2021-02-10,"New Jersey",9.95,2.93,"NJ"
2021-02-11,"New Jersey",10.26,3.15,"NJ"
2021-02-12,"New Jersey",10.6,3.44,"NJ"
2021-02-13,"New Jersey",10.93,3.75,"NJ"
2021-02-14,"New Jersey",11.18,3.95,"NJ"
2021-02-15,"New Jersey",NA,NA,"NJ"
2021-02-16,"New Jersey",11.69,4.32,"NJ"
2021-02-17,"New Jersey",12.02,4.58,"NJ"
2021-02-18,"New Jersey",12.42,4.88,"NJ"
2021-02-19,"New Jersey",12.83,5.17,"NJ"
2021-02-20,"New Jersey",13.03,5.46,"NJ"
2021-02-21,"New Jersey",13.2,5.75,"NJ"
2021-02-22,"New Jersey",13.89,6.21,"NJ"
2021-02-23,"New Jersey",14.14,6.49,"NJ"
2021-02-24,"New Jersey",14.4,6.75,"NJ"
2021-02-25,"New Jersey",14.75,7.11,"NJ"
2021-02-26,"New Jersey",15.18,7.55,"NJ"
2021-02-27,"New Jersey",15.6,7.89,"NJ"
2021-02-28,"New Jersey",16.03,8.13,"NJ"
2021-03-01,"New Jersey",16.31,8.22,"NJ"
2021-03-02,"New Jersey",17.02,8.54,"NJ"
2021-03-03,"New Jersey",17.51,8.77,"NJ"
2021-03-04,"New Jersey",18.12,9.02,"NJ"
2021-03-05,"New Jersey",18.7,9.34,"NJ"
2021-03-06,"New Jersey",19.28,9.65,"NJ"
2021-03-07,"New Jersey",19.69,9.89,"NJ"
2021-03-08,"New Jersey",19.99,10.11,"NJ"
2021-03-09,"New Jersey",20.51,10.4,"NJ"
2021-03-10,"New Jersey",21.07,10.73,"NJ"
2021-03-11,"New Jersey",22.05,11.24,"NJ"
2021-03-12,"New Jersey",22.72,11.57,"NJ"
2021-03-13,"New Jersey",23.54,11.98,"NJ"
2021-03-14,"New Jersey",23.94,12.22,"NJ"
2021-03-15,"New Jersey",24.31,12.44,"NJ"
2021-03-16,"New Jersey",24.76,12.72,"NJ"
2021-03-17,"New Jersey",25.35,13.09,"NJ"
2021-03-18,"New Jersey",26.04,13.49,"NJ"
2021-03-19,"New Jersey",26.71,13.82,"NJ"
2021-03-20,"New Jersey",27.36,14.16,"NJ"
2021-03-21,"New Jersey",27.87,14.46,"NJ"
2021-03-22,"New Jersey",28.26,14.73,"NJ"
2021-03-23,"New Jersey",28.31,14.75,"NJ"
2021-03-24,"New Jersey",29.35,15.41,"NJ"
2021-03-25,"New Jersey",29.97,15.83,"NJ"
2021-03-26,"New Jersey",30.63,16.27,"NJ"
2021-03-27,"New Jersey",31.24,16.79,"NJ"
2021-03-28,"New Jersey",31.78,17.32,"NJ"
2021-03-29,"New Jersey",32.19,17.64,"NJ"
2021-03-30,"New Jersey",32.68,18.17,"NJ"
2021-03-31,"New Jersey",33.23,18.68,"NJ"
2021-04-01,"New Jersey",34.08,19.48,"NJ"
2021-04-02,"New Jersey",34.94,20.23,"NJ"
2021-04-03,"New Jersey",35.73,20.82,"NJ"
2021-04-04,"New Jersey",36.36,21.28,"NJ"
2021-04-05,"New Jersey",36.77,21.51,"NJ"
2021-04-06,"New Jersey",37.2,21.94,"NJ"
2021-04-07,"New Jersey",37.98,22.61,"NJ"
2021-04-08,"New Jersey",38.89,23.39,"NJ"
2021-04-09,"New Jersey",39.77,24.24,"NJ"
2021-04-10,"New Jersey",40.75,25.18,"NJ"
2021-04-11,"New Jersey",41.46,25.77,"NJ"
2021-04-12,"New Jersey",42.09,26.29,"NJ"
2021-01-12,"New Mexico",2.07,0.54,"NM"
2021-01-13,"New Mexico",2.19,0.59,"NM"
2021-01-14,"New Mexico",3.5,NA,"NM"
2021-01-15,"New Mexico",3.82,0.89,"NM"
2021-01-16,"New Mexico",NA,NA,"NM"
2021-01-17,"New Mexico",NA,NA,"NM"
2021-01-18,"New Mexico",NA,NA,"NM"
2021-01-19,"New Mexico",5.36,1.11,"NM"
2021-01-20,"New Mexico",5.54,1.18,"NM"
2021-01-21,"New Mexico",5.86,1.29,"NM"
2021-01-22,"New Mexico",6.21,1.4,"NM"
2021-01-23,"New Mexico",7.1,1.58,"NM"
2021-01-24,"New Mexico",7.76,1.66,"NM"
2021-01-25,"New Mexico",7.94,1.69,"NM"
2021-01-26,"New Mexico",8.18,1.71,"NM"
2021-01-27,"New Mexico",8.4,1.83,"NM"
2021-01-28,"New Mexico",8.6,1.99,"NM"
2021-01-29,"New Mexico",9.02,2.24,"NM"
2021-01-30,"New Mexico",9.32,2.39,"NM"
2021-01-31,"New Mexico",9.78,2.69,"NM"
2021-02-01,"New Mexico",10.12,2.87,"NM"
2021-02-02,"New Mexico",10.2,2.9,"NM"
2021-02-03,"New Mexico",10.45,3,"NM"
2021-02-04,"New Mexico",10.7,3.21,"NM"
2021-02-05,"New Mexico",11.06,3.43,"NM"
2021-02-06,"New Mexico",11.47,3.76,"NM"
2021-02-07,"New Mexico",11.7,3.96,"NM"
2021-02-08,"New Mexico",11.97,4.19,"NM"
2021-02-09,"New Mexico",12.09,4.23,"NM"
2021-02-10,"New Mexico",12.31,4.42,"NM"
2021-02-11,"New Mexico",12.6,4.85,"NM"
2021-02-12,"New Mexico",12.99,5.34,"NM"
2021-02-13,"New Mexico",13.2,5.65,"NM"
2021-02-14,"New Mexico",13.67,6.12,"NM"
2021-02-15,"New Mexico",NA,NA,"NM"
2021-02-16,"New Mexico",14.34,6.56,"NM"
2021-02-17,"New Mexico",14.44,6.64,"NM"
2021-02-18,"New Mexico",14.62,6.87,"NM"
2021-02-19,"New Mexico",18.1,8.45,"NM"
2021-02-20,"New Mexico",18.44,8.88,"NM"
2021-02-21,"New Mexico",18.83,9.29,"NM"
2021-02-22,"New Mexico",19.53,9.56,"NM"
2021-02-23,"New Mexico",19.78,9.7,"NM"
2021-02-24,"New Mexico",19.93,9.85,"NM"
2021-02-25,"New Mexico",20.33,10.23,"NM"
2021-02-26,"New Mexico",20.92,10.71,"NM"
2021-02-27,"New Mexico",21.49,11.14,"NM"
2021-02-28,"New Mexico",22.3,11.7,"NM"
2021-03-01,"New Mexico",22.42,11.86,"NM"
2021-03-02,"New Mexico",22.68,12.14,"NM"
2021-03-03,"New Mexico",23.08,12.43,"NM"
2021-03-04,"New Mexico",23.28,12.61,"NM"
2021-03-05,"New Mexico",23.94,13.01,"NM"
2021-03-06,"New Mexico",24.8,13.76,"NM"
2021-03-07,"New Mexico",25.18,14.05,"NM"
2021-03-08,"New Mexico",25.8,14.46,"NM"
2021-03-09,"New Mexico",26,14.53,"NM"
2021-03-10,"New Mexico",26.06,14.56,"NM"
2021-03-11,"New Mexico",26.86,15.08,"NM"
2021-03-12,"New Mexico",27.74,15.56,"NM"
2021-03-13,"New Mexico",28.23,15.96,"NM"
2021-03-14,"New Mexico",29.01,16.61,"NM"
2021-03-15,"New Mexico",29.25,16.87,"NM"
2021-03-16,"New Mexico",29.64,17.34,"NM"
2021-03-17,"New Mexico",30.08,17.56,"NM"
2021-03-18,"New Mexico",30.64,18.05,"NM"
2021-03-19,"New Mexico",31.41,18.63,"NM"
2021-03-20,"New Mexico",32.32,19.41,"NM"
2021-03-21,"New Mexico",32.98,19.99,"NM"
2021-03-22,"New Mexico",33.34,20.27,"NM"
2021-03-23,"New Mexico",33.45,20.34,"NM"
2021-03-24,"New Mexico",33.72,20.58,"NM"
2021-03-25,"New Mexico",34.45,21,"NM"
2021-03-26,"New Mexico",35.26,21.5,"NM"
2021-03-27,"New Mexico",36.14,22.04,"NM"
2021-03-28,"New Mexico",37.11,22.75,"NM"
2021-03-29,"New Mexico",37.48,23.14,"NM"
2021-03-30,"New Mexico",37.54,23.22,"NM"
2021-03-31,"New Mexico",38.06,23.51,"NM"
2021-04-01,"New Mexico",38.72,23.99,"NM"
2021-04-02,"New Mexico",39.5,24.77,"NM"
2021-04-03,"New Mexico",40.24,25.48,"NM"
2021-04-04,"New Mexico",40.95,25.98,"NM"
2021-04-05,"New Mexico",41.16,26.19,"NM"
2021-04-06,"New Mexico",41.23,26.26,"NM"
2021-04-07,"New Mexico",41.41,26.45,"NM"
2021-04-08,"New Mexico",42.39,27.21,"NM"
2021-04-09,"New Mexico",43.15,28.02,"NM"
2021-04-10,"New Mexico",43.92,28.82,"NM"
2021-04-11,"New Mexico",44.68,29.35,"NM"
2021-04-12,"New Mexico",44.97,29.65,"NM"
2021-01-12,"New York",2.79,0.19,"NY"
2021-01-13,"New York",3.02,0.23,"NY"
2021-01-14,"New York",3.17,NA,"NY"
2021-01-15,"New York",3.45,0.38,"NY"
2021-01-16,"New York",NA,NA,"NY"
2021-01-17,"New York",NA,NA,"NY"
2021-01-18,"New York",NA,NA,"NY"
2021-01-19,"New York",4.55,0.53,"NY"
2021-01-20,"New York",4.76,0.55,"NY"
2021-01-21,"New York",5.05,0.62,"NY"
2021-01-22,"New York",5.39,0.73,"NY"
2021-01-23,"New York",5.69,0.84,"NY"
2021-01-24,"New York",6.03,0.91,"NY"
2021-01-25,"New York",6.25,0.95,"NY"
2021-01-26,"New York",6.4,0.98,"NY"
2021-01-27,"New York",6.61,1.09,"NY"
2021-01-28,"New York",6.79,1.23,"NY"
2021-01-29,"New York",6.99,1.4,"NY"
2021-01-30,"New York",7.29,1.56,"NY"
2021-01-31,"New York",7.58,1.7,"NY"
2021-02-01,"New York",7.77,1.77,"NY"
2021-02-02,"New York",7.92,1.82,"NY"
2021-02-03,"New York",8.03,1.89,"NY"
2021-02-04,"New York",8.1,2,"NY"
2021-02-05,"New York",8.28,2.19,"NY"
2021-02-06,"New York",8.54,2.41,"NY"
2021-02-07,"New York",8.85,2.67,"NY"
2021-02-08,"New York",9.09,2.85,"NY"
2021-02-09,"New York",9.23,2.94,"NY"
2021-02-10,"New York",9.43,3.18,"NY"
2021-02-11,"New York",9.61,3.43,"NY"
2021-02-12,"New York",9.81,3.71,"NY"
2021-02-13,"New York",10.07,4,"NY"
2021-02-14,"New York",10.32,4.28,"NY"
2021-02-15,"New York",NA,NA,"NY"
2021-02-16,"New York",10.81,4.75,"NY"
2021-02-17,"New York",11,4.91,"NY"
2021-02-18,"New York",11.19,5.11,"NY"
2021-02-19,"New York",11.8,5.48,"NY"
2021-02-20,"New York",12,5.74,"NY"
2021-02-21,"New York",12.18,6,"NY"
2021-02-22,"New York",12.34,6.2,"NY"
2021-02-23,"New York",12.47,6.38,"NY"
2021-02-24,"New York",12.59,6.51,"NY"
2021-02-25,"New York",12.76,6.64,"NY"
2021-02-26,"New York",12.98,6.82,"NY"
2021-02-27,"New York",13.31,7.03,"NY"
2021-02-28,"New York",13.83,7.35,"NY"
2021-03-01,"New York",14.28,7.58,"NY"
2021-03-02,"New York",14.81,7.77,"NY"
2021-03-03,"New York",15.21,7.94,"NY"
2021-03-04,"New York",15.69,8.09,"NY"
2021-03-05,"New York",16.22,8.25,"NY"
2021-03-06,"New York",16.93,8.45,"NY"
2021-03-07,"New York",17.68,8.7,"NY"
2021-03-08,"New York",18.35,9.01,"NY"
2021-03-09,"New York",18.77,9.21,"NY"
2021-03-10,"New York",19.44,9.48,"NY"
2021-03-11,"New York",20.01,9.77,"NY"
2021-03-12,"New York",20.61,10.04,"NY"
2021-03-13,"New York",21.72,10.53,"NY"
2021-03-14,"New York",21.73,10.53,"NY"
2021-03-15,"New York",22.22,10.83,"NY"
2021-03-16,"New York",22.64,11.11,"NY"
2021-03-17,"New York",23.07,11.37,"NY"
2021-03-18,"New York",23.64,11.62,"NY"
2021-03-19,"New York",24.19,11.88,"NY"
2021-03-20,"New York",24.91,12.12,"NY"
2021-03-21,"New York",25.6,12.42,"NY"
2021-03-22,"New York",26.13,12.7,"NY"
2021-03-23,"New York",26.7,13.01,"NY"
2021-03-24,"New York",27.19,13.34,"NY"
2021-03-25,"New York",27.65,13.67,"NY"
2021-03-26,"New York",28.32,14.11,"NY"
2021-03-27,"New York",29.06,14.63,"NY"
2021-03-28,"New York",29.62,15.22,"NY"
2021-03-29,"New York",30.13,15.79,"NY"
2021-03-30,"New York",30.51,16.24,"NY"
2021-03-31,"New York",31.11,16.89,"NY"
2021-04-01,"New York",31.41,17.28,"NY"
2021-04-02,"New York",32.31,19.09,"NY"
2021-04-03,"New York",33.37,20.06,"NY"
2021-04-04,"New York",34.05,20.69,"NY"
2021-04-05,"New York",34.4,21.03,"NY"
2021-04-06,"New York",34.74,21.34,"NY"
2021-04-07,"New York",35.48,22.06,"NY"
2021-04-08,"New York",36.16,22.64,"NY"
2021-04-09,"New York",37.01,23.34,"NY"
2021-04-10,"New York",37.93,24.14,"NY"
2021-04-11,"New York",38.69,24.85,"NY"
2021-04-12,"New York",39.23,25.35,"NY"
2021-01-12,"North Carolina",1.8,0.18,"NC"
2021-01-13,"North Carolina",2.18,0.34,"NC"
2021-01-14,"North Carolina",2.22,NA,"NC"
2021-01-15,"North Carolina",2.48,0.41,"NC"
2021-01-16,"North Carolina",NA,NA,"NC"
2021-01-17,"North Carolina",NA,NA,"NC"
2021-01-18,"North Carolina",NA,NA,"NC"
2021-01-19,"North Carolina",3.3,0.51,"NC"
2021-01-20,"North Carolina",3.52,0.56,"NC"
2021-01-21,"North Carolina",3.87,0.64,"NC"
2021-01-22,"North Carolina",4.29,0.71,"NC"
2021-01-23,"North Carolina",4.74,0.76,"NC"
2021-01-24,"North Carolina",5.26,0.8,"NC"
2021-01-25,"North Carolina",5.62,0.82,"NC"
2021-01-26,"North Carolina",5.83,0.83,"NC"
2021-01-27,"North Carolina",5.99,0.84,"NC"
2021-01-28,"North Carolina",6.95,1.15,"NC"
2021-01-29,"North Carolina",6.96,1.15,"NC"
2021-01-30,"North Carolina",7.27,1.29,"NC"
2021-01-31,"North Carolina",7.64,1.43,"NC"
2021-02-01,"North Carolina",7.81,1.49,"NC"
2021-02-02,"North Carolina",7.81,1.49,"NC"
2021-02-03,"North Carolina",8.16,1.62,"NC"
2021-02-04,"North Carolina",8.35,1.78,"NC"
2021-02-05,"North Carolina",8.6,1.97,"NC"
2021-02-06,"North Carolina",8.96,2.2,"NC"
2021-02-07,"North Carolina",9.34,2.5,"NC"
2021-02-08,"North Carolina",9.53,2.61,"NC"
2021-02-09,"North Carolina",9.59,2.67,"NC"
2021-02-10,"North Carolina",9.85,2.87,"NC"
2021-02-11,"North Carolina",10.01,3.15,"NC"
2021-02-12,"North Carolina",10.26,3.53,"NC"
2021-02-13,"North Carolina",10.63,3.88,"NC"
2021-02-14,"North Carolina",11.12,4.28,"NC"
2021-02-15,"North Carolina",NA,NA,"NC"
2021-02-16,"North Carolina",11.43,4.61,"NC"
2021-02-17,"North Carolina",11.67,4.85,"NC"
2021-02-18,"North Carolina",11.81,5.16,"NC"
2021-02-19,"North Carolina",12.77,5.88,"NC"
2021-02-20,"North Carolina",12.91,6.22,"NC"
2021-02-21,"North Carolina",13.1,6.59,"NC"
2021-02-22,"North Carolina",13.05,6.73,"NC"
2021-02-23,"North Carolina",13.09,6.82,"NC"
2021-02-24,"North Carolina",13.25,7.09,"NC"
2021-02-25,"North Carolina",13.42,7.36,"NC"
2021-02-26,"North Carolina",13.84,7.64,"NC"
2021-02-27,"North Carolina",14.34,7.91,"NC"
2021-02-28,"North Carolina",15.01,8.19,"NC"
2021-03-01,"North Carolina",15.4,8.35,"NC"
2021-03-02,"North Carolina",15.51,8.41,"NC"
2021-03-03,"North Carolina",15.88,8.62,"NC"
2021-03-04,"North Carolina",16.14,8.87,"NC"
2021-03-05,"North Carolina",16.27,8.93,"NC"
2021-03-06,"North Carolina",16.77,9.19,"NC"
2021-03-07,"North Carolina",17.21,9.41,"NC"
2021-03-08,"North Carolina",17.53,9.61,"NC"
2021-03-09,"North Carolina",17.72,9.69,"NC"
2021-03-10,"North Carolina",18.18,9.92,"NC"
2021-03-11,"North Carolina",18.6,10.22,"NC"
2021-03-12,"North Carolina",19.21,10.77,"NC"
2021-03-13,"North Carolina",20.8,11.5,"NC"
2021-03-14,"North Carolina",20.91,11.63,"NC"
2021-03-15,"North Carolina",21.3,11.95,"NC"
2021-03-16,"North Carolina",21.87,12.3,"NC"
2021-03-17,"North Carolina",22.29,12.6,"NC"
2021-03-18,"North Carolina",22.95,12.91,"NC"
2021-03-19,"North Carolina",23.53,13.19,"NC"
2021-03-20,"North Carolina",24.2,13.39,"NC"
2021-03-21,"North Carolina",24.87,13.69,"NC"
2021-03-22,"North Carolina",25.26,13.92,"NC"
2021-03-23,"North Carolina",25.47,14.01,"NC"
2021-03-24,"North Carolina",25.99,14.21,"NC"
2021-03-25,"North Carolina",26.47,14.44,"NC"
2021-03-26,"North Carolina",27.05,14.86,"NC"
2021-03-27,"North Carolina",27.72,15.29,"NC"
2021-03-28,"North Carolina",28.15,15.76,"NC"
2021-03-29,"North Carolina",28.37,16.01,"NC"
2021-03-30,"North Carolina",28.45,16.06,"NC"
2021-03-31,"North Carolina",28.86,16.44,"NC"
2021-04-01,"North Carolina",29.31,16.86,"NC"
2021-04-02,"North Carolina",29.75,17.21,"NC"
2021-04-03,"North Carolina",30.57,17.82,"NC"
2021-04-04,"North Carolina",30.87,18.02,"NC"
2021-04-05,"North Carolina",31.11,18.2,"NC"
2021-04-06,"North Carolina",31.22,18.25,"NC"
2021-04-07,"North Carolina",31.62,18.64,"NC"
2021-04-08,"North Carolina",32.02,19.23,"NC"
2021-04-09,"North Carolina",32.47,19.9,"NC"
2021-04-10,"North Carolina",33.07,20.64,"NC"
2021-04-11,"North Carolina",33.64,21.27,"NC"
2021-04-12,"North Carolina",34.04,21.68,"NC"
2021-01-12,"North Dakota",4.42,0.76,"ND"
2021-01-13,"North Dakota",4.5,0.84,"ND"
2021-01-14,"North Dakota",4.63,NA,"ND"
2021-01-15,"North Dakota",5.05,0.99,"ND"
2021-01-16,"North Dakota",NA,NA,"ND"
2021-01-17,"North Dakota",NA,NA,"ND"
2021-01-18,"North Dakota",NA,NA,"ND"
2021-01-19,"North Dakota",6.25,1.13,"ND"
2021-01-20,"North Dakota",6.34,1.17,"ND"
2021-01-21,"North Dakota",6.43,1.3,"ND"
2021-01-22,"North Dakota",6.69,1.63,"ND"
2021-01-23,"North Dakota",7.02,1.89,"ND"
2021-01-24,"North Dakota",7.37,2.05,"ND"
2021-01-25,"North Dakota",7.61,2.06,"ND"
2021-01-26,"North Dakota",7.63,2.07,"ND"
2021-01-27,"North Dakota",7.7,2.22,"ND"
2021-01-28,"North Dakota",7.89,2.39,"ND"
2021-01-29,"North Dakota",8.37,2.72,"ND"
2021-01-30,"North Dakota",8.78,3.01,"ND"
2021-01-31,"North Dakota",9.29,3.33,"ND"
2021-02-01,"North Dakota",9.39,3.43,"ND"
2021-02-02,"North Dakota",9.41,3.48,"ND"
2021-02-03,"North Dakota",9.53,3.6,"ND"
2021-02-04,"North Dakota",9.76,3.79,"ND"
2021-02-05,"North Dakota",10.28,4.05,"ND"
2021-02-06,"North Dakota",10.75,4.61,"ND"
2021-02-07,"North Dakota",11.22,4.94,"ND"
2021-02-08,"North Dakota",11.5,5.04,"ND"
2021-02-09,"North Dakota",11.5,5.04,"ND"
2021-02-10,"North Dakota",11.67,5.14,"ND"
2021-02-11,"North Dakota",11.93,5.34,"ND"
2021-02-12,"North Dakota",12.36,5.68,"ND"
2021-02-13,"North Dakota",12.69,5.97,"ND"
2021-02-14,"North Dakota",13.04,6.24,"ND"
2021-02-15,"North Dakota",NA,NA,"ND"
2021-02-16,"North Dakota",13.4,6.46,"ND"
2021-02-17,"North Dakota",13.44,6.51,"ND"
2021-02-18,"North Dakota",13.67,6.62,"ND"
2021-02-19,"North Dakota",16.01,7.62,"ND"
2021-02-20,"North Dakota",16.36,8.09,"ND"
2021-02-21,"North Dakota",16.65,8.57,"ND"
2021-02-22,"North Dakota",16.43,8.34,"ND"
2021-02-23,"North Dakota",16.44,8.36,"ND"
2021-02-24,"North Dakota",16.68,8.5,"ND"
2021-02-25,"North Dakota",17.01,8.71,"ND"
2021-02-26,"North Dakota",17.67,9.14,"ND"
2021-02-27,"North Dakota",18.66,9.76,"ND"
2021-02-28,"North Dakota",19.3,10.23,"ND"
2021-03-01,"North Dakota",19.61,10.43,"ND"
2021-03-02,"North Dakota",19.63,10.45,"ND"
2021-03-03,"North Dakota",19.78,10.59,"ND"
2021-03-04,"North Dakota",20.13,10.89,"ND"
2021-03-05,"North Dakota",20.78,11.36,"ND"
2021-03-06,"North Dakota",21.58,11.62,"ND"
2021-03-07,"North Dakota",22.36,11.89,"ND"
2021-03-08,"North Dakota",22.66,12,"ND"
2021-03-09,"North Dakota",22.83,12.06,"ND"
2021-03-10,"North Dakota",22.97,12.28,"ND"
2021-03-11,"North Dakota",23.41,12.66,"ND"
2021-03-12,"North Dakota",24.41,13.25,"ND"
2021-03-13,"North Dakota",25.21,14.02,"ND"
2021-03-14,"North Dakota",25.9,14.45,"ND"
2021-03-15,"North Dakota",26.07,14.9,"ND"
2021-03-16,"North Dakota",26.08,14.91,"ND"
2021-03-17,"North Dakota",26.34,15.06,"ND"
2021-03-18,"North Dakota",26.73,15.36,"ND"
2021-03-19,"North Dakota",27.54,15.86,"ND"
2021-03-20,"North Dakota",28.28,16.41,"ND"
2021-03-21,"North Dakota",28.73,16.8,"ND"
2021-03-22,"North Dakota",28.96,16.99,"ND"
2021-03-23,"North Dakota",28.97,17,"ND"
2021-03-24,"North Dakota",29.16,17.11,"ND"
2021-03-25,"North Dakota",29.61,17.41,"ND"
2021-03-26,"North Dakota",30.16,18.22,"ND"
2021-03-27,"North Dakota",30.73,18.99,"ND"
2021-03-28,"North Dakota",30.99,19.64,"ND"
2021-03-29,"North Dakota",31.15,19.94,"ND"
2021-03-30,"North Dakota",32.12,20.19,"ND"
2021-03-31,"North Dakota",32.35,20.28,"ND"
2021-04-01,"North Dakota",32.84,20.61,"ND"
